City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
439,Lompoc,US,74.84,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
444,Salalah,OM,77.41,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
445,Caluquembe,AO,67.5,overcast clouds,-13.7833,14.6833,Hotel Kalukembe
448,Moerai,PF,73.96,overcast clouds,-22.4333,-151.3333,Le Manotel
452,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
454,Mogadishu,SO,79.59,overcast clouds,2.0371,45.3438,Hotel Juba
456,Valverde Del Camino,ES,58.84,clear sky,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
458,Sabha,LY,79.84,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
463,Amalapuram,IN,74.61,overcast clouds,16.5833,82.0167,swayamprabha service apartments
465,Naze,JP,65.57,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
466,Nadbai,IN,71.69,clear sky,27.2333,77.2,Rambharosi Meena
470,Inongo,CD,72.73,scattered clouds,-1.95,18.2667,Hotel Du Lac
475,Rajura,IN,76.3,broken clouds,19.7833,79.3667,Bharat Lodge And Restaurant
476,Hambantota,LK,79.48,broken clouds,6.1241,81.1185,Bungalow 63
477,Tlacotepec,MX,64.0,broken clouds,20.0667,-97.8667,RANCHO LA ILUSION
482,Pascagoula,US,66.25,overcast clouds,30.3658,-88.5561,Regency Inn
485,Nelson Bay,AU,66.25,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
488,Honiara,SB,76.6,overcast clouds,-9.4333,159.95,Heritage Park Hotel
489,Lima,PE,69.13,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
495,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
498,Damghan,IR,56.05,broken clouds,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
502,Katsuura,JP,59.14,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
507,Durant,US,55.11,overcast clouds,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
509,Kaeo,NZ,58.32,overcast clouds,-35.1,173.7833,Bushido Lodge
511,Safaga,EG,78.87,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
512,Tura,IN,63.19,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
513,Sur,OM,76.35,clear sky,22.5667,59.5289,Sur Plaza Hotel
514,Haveli,PK,70.38,clear sky,30.4502,73.6989,Nasir Khan Lodhi
516,Pokhara,NP,57.76,clear sky,28.2333,83.9833,Butterfly Lodge
517,Rapar,IN,79.77,scattered clouds,23.5667,70.6333,Dharamshi Bapa’s Home
525,Phan Thiet,VN,75.83,broken clouds,10.9333,108.1,Hotel Saigon-PT
526,Vinkovci,HR,60.89,light rain,45.2883,18.8047,Hotel Gem
529,Namibe,AO,66.79,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
532,Manado,ID,75.97,thunderstorm,1.487,124.8455,Aryaduta Hotel
534,Hirado,JP,58.35,broken clouds,33.3597,129.5531,Samson Hotel
536,Luanda,AO,78.8,few clouds,-8.8368,13.2343,Hotel Fórum
538,Emerald,AU,67.33,clear sky,-23.5333,148.1667,The Irish Village
546,Port Moresby,PG,75.15,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
548,Ibra,OM,72.34,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
550,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
551,Ahipara,NZ,57.18,light rain,-35.1667,173.1667,Ahipara Holiday Park
554,Hondo,JP,58.95,broken clouds,32.45,130.2,ホテル河丁
559,Constitucion,CL,62.87,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
560,Cilegon,ID,78.69,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
568,Lake Havasu City,US,76.23,clear sky,34.4839,-114.3224,Heat Hotel
569,Puerto Madryn,AR,64.62,clear sky,-42.7692,-65.0385,Hotel Tolosa
570,Concepcion,CL,60.6,few clouds,-36.827,-73.0498,Hotel El Araucano
576,San Jose,US,65.64,haze,37.3394,-121.895,The Westin San Jose
577,Garmsar,IR,64.47,overcast clouds,35.2182,52.3409,آذین فوم
578,Jobat,IN,71.28,overcast clouds,22.4167,74.5667,Singh house
581,Guadalupe Y Calvo,MX,67.84,clear sky,26.1,-106.9667,Hotel Pizarro
583,Talcahuano,CL,62.28,few clouds,-36.7167,-73.1167,departamento comodo
584,Kirakira,SB,78.84,overcast clouds,-10.4544,161.9205,SanBiz Lodge
585,Weinan,CN,57.92,broken clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
586,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
587,Takaka,NZ,55.56,overcast clouds,-40.85,172.8,Golden Bay Motels
591,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
595,Biak,ID,76.66,light rain,-0.9131,122.8766,Penginapan Kim
597,Rota,ES,61.21,few clouds,36.6224,-6.3586,Hotel Duque de Nájera
598,Viedma,AR,63.1,overcast clouds,-40.8135,-62.9967,Hotel Cristal
599,Hurghada,EG,77.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
600,Asosa,ET,60.71,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
609,Rach Gia,VN,76.95,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
610,Sakakah,SA,73.11,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
614,Jiangyou,CN,57.99,light rain,31.7667,104.7167,Shangping Shuyuan Inn
619,Kabanjahe,ID,65.16,light rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
620,Ouesso,CG,77.94,broken clouds,1.6136,16.0517,ABENIE Hotel
621,Dicabisagan,PH,76.17,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
622,Mwene-Ditu,CD,71.83,light rain,-7.0,23.45,Hôtel Kamas
623,Kokopo,PG,77.31,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
624,Chake Chake,TZ,77.13,few clouds,-5.2459,39.7666,Hotel Archipelago
631,Xunchang,CN,60.26,overcast clouds,28.4543,104.715,Jiabin Inn
632,Mae Sai,TH,73.44,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
633,Abha,SA,57.45,clear sky,18.2164,42.5053,Abha Hotel
637,Shima,CN,67.37,scattered clouds,24.4478,117.8111,龙海钻石大酒店
638,Mount Isa,AU,73.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
644,Carahue,CL,58.39,few clouds,-38.7,-73.1667,Hospedaje Familiar
647,Springbok,ZA,64.96,clear sky,-29.6643,17.8865,Undulata Country Lodge
649,Gambela,ET,75.81,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
650,Tazmalt,DZ,57.38,broken clouds,36.3868,4.3989,Hôtel Numédia
651,Mayumba,GA,78.03,overcast clouds,-3.432,10.6554,LIKWALE LODGE
652,Tirumullaivasal,IN,78.87,light rain,11.2333,79.8333,Almupaark complex
655,Russell,US,61.88,overcast clouds,32.3502,-85.1999,Macs
656,Inhambane,MZ,73.38,few clouds,-23.865,35.3833,Oceano
662,Iberia,US,59.97,few clouds,29.9502,-91.7507,back to back rv park
666,Ejido,VE,74.61,broken clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
668,Muros,ES,57.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
673,Luang Prabang,LA,69.67,broken clouds,19.8856,102.1347,The Apsara
675,Rio Gallegos,AR,64.45,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
677,Syracuse,IT,70.97,overcast clouds,37.0881,15.2792,Hotel Posta
678,Toamasina,MG,74.35,clear sky,-18.1667,49.3833,Hotel H1
679,Jining,CN,57.96,overcast clouds,35.405,116.5814,Yunhe Star Hotel
680,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
681,Ucluelet,CA,57.04,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
685,Kharela,IN,72.75,clear sky,25.55,79.8167,SHANTI MOTORS KHARELA
